scoring_function,scoring_version,cohort_definition,cutoff_date,n_ti_pairs,n_approved,n_failed,auc,auc_lo,auc_hi,brier,r10,p10,rs10,ece,notes
logreg_strict_other_v1,v3_strict,ti_phase2plus_strict_modality_other,,6197,13,6184,0.746,0.516,0.937,,0.538,0.011,10.49,,"Per-modality LogReg 5-fold CV OOF on strict outcome, modality=other"
lightgbm_robust_strict_v1,v3_robust,ti_phase2plus_strict,,8035,403,7632,0.733,0.703,0.762,0.140,0.429,0.215,6.76,0.293,Regularized LightGBM + monotonic constraints
rs_composite_calibrated_v1,v1,ti_phase2plus,,2611,741,1870,0.723,0.702,0.744,0.174,0.198,0.563,2.23,0.004,Isotonic Platt scaling of rs_composite_v1 raw scores
rs_composite_v1,v1,ti_phase2plus,,2611,741,1870,0.714,0.694,0.738,0.327,0.194,0.552,2.17,0.362,scorer=rs_composite_v1 cohort=ti_phase2plus
lightgbm_robust_holdout_target_v1,v3_holdout_target,ti_phase2plus_strict_holdout_target,,8035,403,7632,0.670,0.641,0.703,0.160,0.337,0.169,4.58,0.327,Group 5-fold CV by target_id — all T-Is sharing a target in same fold. Tests generalization to unseen targets.
lightgbm_robust_iso_strict_v1,v3_robust,ti_phase2plus_strict,,8035,403,7632,0.657,0.631,0.687,0.048,0.223,0.112,2.59,0.011,Regularized LightGBM + isotonic calibration
logreg_strict_ablate_no_A_genetics,v3_strict,ti_phase2plus_strict,,8035,403,7632,0.651,,,,,,,,"Ablate A_genetics, strict outcome, LogReg. Full AUC=0.828, delta=-0.1774"
sonnet_agent_sdk_v1,v1_sdk_parallel,ti_phase2plus_strict_sampled_200,,200,100,100,0.633,0.552,0.707,0.448,0.170,0.850,1.84,0.450,"Sonnet agent via SDK, parallel 8 workers, est $0.87"
genetic_only_v1,v1,ti_phase2plus,,2611,741,1870,0.629,0.608,0.659,0.194,0.265,0.751,3.24,0.050,scorer=genetic_only_v1 cohort=ti_phase2plus
pheiron_rs_composite_v1,v1_published_RS,ti_phase2plus_strict,,8035,403,7632,0.615,0.589,0.641,0.349,0.397,0.199,5.92,0.406,Pheiron-style RS composite: multiplicative product of published RS per supported dimension. No training on our data — uses published RS from Nelson 2015 / Minikel 2024 / Pheiron 2026 methodology.
family_precedent_v1,v1,ti_phase2plus,,2611,741,1870,0.606,0.590,0.628,0.219,0.111,0.314,1.12,0.147,scorer=family_precedent_v1 cohort=ti_phase2plus
lightgbm_strict_timemachine_v1,v3_strict_time_cutoff,ti_phase2plus_strict_post_2019,2019-01-01,3522,26,3496,0.578,0.475,0.680,0.046,0.154,0.011,1.64,0.057,"STRICT per-T-I outcome + time-cutoff family precedent, cutoff=2019-01-01, train n=4199"
lightgbm_strict_timemachine_v1,v3_strict_time_cutoff,ti_phase2plus_strict_post_2017,2017-01-01,5410,46,5364,0.577,0.507,0.644,0.045,0.087,0.007,0.86,0.050,"STRICT per-T-I outcome + time-cutoff family precedent, cutoff=2017-01-01, train n=2311"
nelson_only_v1,v1,ti_phase2plus,,2611,741,1870,0.532,0.518,0.548,0.210,0.352,1.000,4.90,0.101,scorer=nelson_only_v1 cohort=ti_phase2plus
random_v1,v1,ti_phase2plus,,2611,741,1870,0.509,0.485,0.539,0.330,0.101,0.287,1.01,0.292,scorer=random_v1 cohort=ti_phase2plus
