target_id,symbol,ensembl_id
4466,SLC22A12,ENSG00000197891
4476,HTR3A,ENSG00000166736
4482,GRM1,ENSG00000152822
4520,IL17F,ENSG00000112116
4525,LRRC4,ENSG00000128594
4534,RORC,ENSG00000143365
4535,CTLA4,ENSG00000163599
4536,APAF1,ENSG00000120868
4543,LPAR1,ENSG00000198121
4564,CA9,ENSG00000107159
4567,PIGF,ENSG00000151665
4579,SIL1,ENSG00000120725
4612,SLC12A3,ENSG00000070915
4634,FOLR3,ENSG00000110203
4640,CYSLTR1,ENSG00000173198
4646,MTNR1B,ENSG00000134640
4648,JAK1,ENSG00000162434
4660,DCP1B,ENSG00000151065
4684,SLC5A5,ENSG00000105641
4692,HRH1,ENSG00000196639
4695,ATP2A2,ENSG00000174437
4703,AMBP,ENSG00000106927
4704,ABRAXAS2,ENSG00000165660
4715,PARP2,ENSG00000129484
4723,BDKRB1,ENSG00000100739
4743,AQP5,ENSG00000161798
4744,ABCD1,ENSG00000101986
4750,SERPING1,ENSG00000149131
4754,CDK9,ENSG00000136807
4757,CSN3,ENSG00000171209
4759,AHSP,ENSG00000169877
4760,IFITM2,ENSG00000185201
4764,KHK,ENSG00000138030
4783,MAP2K1,ENSG00000169032
4786,CLPP,ENSG00000125656
4803,SARDH,ENSG00000123453
4822,GP5,ENSG00000178732
4838,HDAC11,ENSG00000163517
4840,LINC00652,ENSG00000179935
4849,ALK,ENSG00000171094
4853,IGF1R,ENSG00000140443
4858,TOMM20,ENSG00000173726
4876,BRAF,ENSG00000157764
4910,HCAR2,ENSG00000182782
4924,MYLK,ENSG00000065534
5017,MYO18B,ENSG00000133454
5018,PIGT,ENSG00000124155
5024,ACTG1,ENSG00000184009
5027,MTREX,ENSG00000039123
5031,ID1,ENSG00000125968
5034,KIF26B,ENSG00000162849
5072,RPE65,ENSG00000116745
5116,AMD1,ENSG00000123505
5161,PTGIR,ENSG00000160013
5170,IL22RA1,ENSG00000142677
5186,MUC1,ENSG00000185499
5196,CHRM2,ENSG00000181072
5201,KCNMA1,ENSG00000156113
5203,CDK4,ENSG00000135446
5211,CPB1,ENSG00000153002
5212,SMPD1,ENSG00000166311
5222,IL4R,ENSG00000077238
5233,CRTAP,ENSG00000170275
5242,CYP8B1,ENSG00000180432
5253,B4GALNT1,ENSG00000135454
5260,IFNAR1,ENSG00000142166
5269,IFNAR2,ENSG00000159110
5287,GPR39,ENSG00000183840
5314,MAP2K2,ENSG00000126934
5330,OGA,ENSG00000198408
5349,NIF3L1,ENSG00000196290
5350,ALAS1,ENSG00000023330
5376,OPRK1,ENSG00000082556
5378,CA8,ENSG00000178538
5383,DNTT,ENSG00000107447
5401,KDM1A,ENSG00000004487
5404,PLEC,ENSG00000178209
5422,HAO1,ENSG00000101323
5432,CDC25C,ENSG00000158402
5440,SMO,ENSG00000128602
5455,CRLS1,ENSG00000088766
5456,ACADVL,ENSG00000072778
5483,ACACB,ENSG00000076555
5491,B3GAT2,ENSG00000112309
5499,ABHD14B,ENSG00000114779
5510,ABCD2,ENSG00000173208
5538,CASP2,ENSG00000106144
5543,RAP2C,ENSG00000123728
5559,BLOC1S6,ENSG00000104164
5561,IDH2,ENSG00000182054
5582,LRRK2,ENSG00000188906
5587,KCNQ5,ENSG00000185760
5590,SCN10A,ENSG00000185313
5592,NTRK3,ENSG00000140538
5594,GNRHR,ENSG00000109163
5617,MDM2,ENSG00000135679
5619,CALCR,ENSG00000004948
5623,MAP4K1,ENSG00000104814
5634,CHRM1,ENSG00000168539
5650,H4C2,ENSG00000278705
5715,CD3E,ENSG00000198851
5735,CCNL2,ENSG00000221978
5737,COL12A1,ENSG00000111799
5764,OXTR,ENSG00000180914
5790,AKR1C3,ENSG00000196139
5792,DGUOK,ENSG00000114956
5826,TMEM97,ENSG00000109084
5831,TAS2R62P,ENSG00000234066
5844,OSMR,ENSG00000145623
5873,ANXA4,ENSG00000196975
5906,SLC11A2,ENSG00000110911
5907,ATP2A1,ENSG00000196296
5915,GSC,ENSG00000133937
5952,XIAP,ENSG00000101966
5961,HTRA3,ENSG00000170801
5965,LTB4R,ENSG00000213903
5971,DAPK3,ENSG00000167657
5973,HPGD,ENSG00000164120
6000,MARCKS,ENSG00000277443
6005,MEN1,ENSG00000133895
6027,INHBA,ENSG00000122641
6043,DRD3,ENSG00000151577
6045,KCNQ2,ENSG00000075043
6047,KCNH1,ENSG00000143473
6081,GRIN2B,ENSG00000273079
6084,SLC6A3,ENSG00000142319
6086,SCN9A,ENSG00000169432
6087,SCN11A,ENSG00000168356
6088,GRIN2D,ENSG00000105464
6096,ESRRB,ENSG00000119715
6098,CDKN2C,ENSG00000123080
6106,GYPC,ENSG00000136732
6142,AREL1,ENSG00000119682
6153,ITGA4,ENSG00000115232
6155,SLC6A1,ENSG00000157103
6156,GRIA2,ENSG00000120251
6163,SLC18A2,ENSG00000165646
6204,TPH1,ENSG00000129167
6205,RGMA,ENSG00000182175
6210,MC1R,ENSG00000258839
6214,AVPR1A,ENSG00000166148
6254,DAO,ENSG00000110887
6258,MRGPRX2,ENSG00000183695
6262,PDGFRA,ENSG00000134853
6272,SV2A,ENSG00000159164
6274,DLD,ENSG00000091140
6284,TACR1,ENSG00000115353
6298,JAK3,ENSG00000105639
6305,CACNA1B,ENSG00000148408
6319,TTC39A,ENSG00000085831
6372,DHFR,ENSG00000228716
6373,CPT2,ENSG00000157184
