symbol,n_phenotypes,release,release_date
NOS3,18,16.0,2022-03-24
NOTCH1,4,16.0,2022-03-24
NPFF,0,16.0,2022-03-24
NR2F6,2,16.0,2022-03-24
NRP1,3,16.0,2022-03-24
NTRK1,2,16.0,2022-03-24
NUPR1,0,16.0,2022-03-24
OAZ2,1,16.0,2022-03-24
OPRL1,5,16.0,2022-03-24
OSM,10,16.0,2022-03-24
OTULIN,3,16.0,2022-03-24
OXTR,1,16.0,2022-03-24
P2RX7,1,16.0,2022-03-24
P4HB,4,16.0,2022-03-24
PAH,12,16.0,2022-03-24
PARD3,5,16.0,2022-03-24
PARP1,8,16.0,2022-03-24
PARP12,10,16.0,2022-03-24
PCSK6,0,16.0,2022-03-24
PCSK9,5,16.0,2022-03-24
PDE3B,1,16.0,2022-03-24
PDE4C,3,16.0,2022-03-24
PDE5A,5,16.0,2022-03-24
PDGFRB,5,16.0,2022-03-24
PIGF,4,16.0,2022-03-24
PIK3CG,0,16.0,2022-03-24
PLA2G10,3,16.0,2022-03-24
PLEC,1,16.0,2022-03-24
PLEKHA3,3,16.0,2022-03-24
PLOD3,7,16.0,2022-03-24
POLE3,1,16.0,2022-03-24
POLR3D,7,16.0,2022-03-24
PPARA,2,16.0,2022-03-24
PPARG,6,16.0,2022-03-24
PPIA,10,16.0,2022-03-24
PPP3CA,0,16.0,2022-03-24
PRDM15,3,16.0,2022-03-24
PRKAA2,11,16.0,2022-03-24
PRKD3,2,16.0,2022-03-24
PTGER2,4,16.0,2022-03-24
PTGS1,3,16.0,2022-03-24
PTH1R,5,16.0,2022-03-24
PVR,2,16.0,2022-03-24
RAF1,3,16.0,2022-03-24
ROR1,9,16.0,2022-03-24
RPS6KA1,1,16.0,2022-03-24
RPTOR,3,16.0,2022-03-24
RRM1,2,16.0,2022-03-24
RXFP2,16,16.0,2022-03-24
S100B,0,16.0,2022-03-24
SARDH,0,16.0,2022-03-24
SCN11A,1,16.0,2022-03-24
SCN4A,4,16.0,2022-03-24
SELL,1,16.0,2022-03-24
SEMA3D,1,16.0,2022-03-24
SEMA4D,6,16.0,2022-03-24
SERPING1,5,16.0,2022-03-24
SIGMAR1,1,16.0,2022-03-24
SIK2,1,16.0,2022-03-24
SIRT2,0,16.0,2022-03-24
SLC10A1,8,16.0,2022-03-24
SLC10A2,1,16.0,2022-03-24
SLC17A9,2,16.0,2022-03-24
SLC22A4,1,16.0,2022-03-24
SLC29A1,15,16.0,2022-03-24
SLC5A2,3,16.0,2022-03-24
SLC5A5,11,16.0,2022-03-24
SLC6A2,5,16.0,2022-03-24
SLC6A3,5,16.0,2022-03-24
SLC6A5,4,16.0,2022-03-24
SLC9A3,0,16.0,2022-03-24
SMO,9,16.0,2022-03-24
SNCA,6,16.0,2022-03-24
SNX21,0,16.0,2022-03-24
SORT1,1,16.0,2022-03-24
SQLE,1,16.0,2022-03-24
SRD5A2,4,16.0,2022-03-24
SSTR2,10,16.0,2022-03-24
STBD1,1,16.0,2022-03-24
STING1,3,16.0,2022-03-24
SYK,5,16.0,2022-03-24
TACR3,3,16.0,2022-03-24
TADA1,3,16.0,2022-03-24
TAF8,5,16.0,2022-03-24
TARBP1,2,16.0,2022-03-24
TDRKH,2,16.0,2022-03-24
TFRC,8,16.0,2022-03-24
THRA,23,16.0,2022-03-24
TIGIT,2,16.0,2022-03-24
TLR4,4,16.0,2022-03-24
TMEM97,1,16.0,2022-03-24
TNFRSF17,2,16.0,2022-03-24
TNKS2,1,16.0,2022-03-24
TOMM20,3,16.0,2022-03-24
TOP2A,18,16.0,2022-03-24
TPRKB,1,16.0,2022-03-24
TRDMT1,3,16.0,2022-03-24
TRIM55,3,16.0,2022-03-24
TRPA1,1,16.0,2022-03-24
TRPC5,0,16.0,2022-03-24
TRPC6,0,16.0,2022-03-24
TSLP,0,16.0,2022-03-24
TTC39A,4,16.0,2022-03-24
TUBB4A,1,16.0,2022-03-24
TYK2,8,16.0,2022-03-24
TYMS,0,16.0,2022-03-24
UBE3A,10,16.0,2022-03-24
VKORC1,1,16.0,2022-03-24
XK,3,16.0,2022-03-24
XPO1,8,16.0,2022-03-24
