ensembl_id,ot_overall_max,ot_genetic_max,ot_animal_model_max,release,release_date,era
ENSG00000105641,1.0,1.0,0.3257400797944272,20.06,2020-06-01,A
ENSG00000022355,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000168356,1.0,1.0,0.2847222222222222,20.06,2020-06-01,A
ENSG00000137745,1.0,1.0,0.29273384277210884,20.06,2020-06-01,A
ENSG00000147257,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000171791,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000145335,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000165029,1.0,1.0,0.32699495204486634,20.06,2020-06-01,A
ENSG00000101986,1.0,1.0,0.32698659815260017,20.06,2020-06-01,A
ENSG00000151224,1.0,1.0,0.3170512685031518,20.06,2020-06-01,A
ENSG00000107485,1.0,1.0,0.3269279075748374,20.06,2020-06-01,A
ENSG00000121966,1.0,1.0,0.3268165506793155,20.06,2020-06-01,A
ENSG00000001626,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000097007,1.0,1.0,0.3223973867959905,20.06,2020-06-01,A
ENSG00000175054,1.0,1.0,0.3269479622053471,20.06,2020-06-01,A
ENSG00000082898,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000122025,1.0,1.0,0.3252646113260334,20.06,2020-06-01,A
ENSG00000138039,1.0,1.0,0.326971838050789,20.06,2020-06-01,A
ENSG00000160801,1.0,1.0,0.32602021442711415,20.06,2020-06-01,A
ENSG00000162551,1.0,1.0,0.3265778408600314,20.06,2020-06-01,A
ENSG00000075043,1.0,1.0,0.32666345036065086,20.06,2020-06-01,A
ENSG00000143387,1.0,1.0,0.3269913936848737,20.06,2020-06-01,A
ENSG00000165970,1.0,1.0,0.3267166045647045,20.06,2020-06-01,A
ENSG00000007312,1.0,1.0,0.32543443302549835,20.06,2020-06-01,A
ENSG00000177628,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000106633,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000116745,1.0,1.0,0.3269520500702144,20.06,2020-06-01,A
ENSG00000113448,1.0,1.0,0.27767000000000003,20.06,2020-06-01,A
ENSG00000198223,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000228716,1.0,1.0,0.3181527509016652,20.06,2020-06-01,A
ENSG00000091140,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000169174,1.0,1.0,0.2546844444444445,20.06,2020-06-01,A
ENSG00000162434,1.0,0.8997238536102375,0.3269919658301818,20.06,2020-06-01,A
ENSG00000177455,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000151617,1.0,1.0,0.3269929674547195,20.06,2020-06-01,A
ENSG00000198734,1.0,1.0,0.3253548408924281,20.06,2020-06-01,A
ENSG00000134460,1.0,1.0,0.326919937641742,20.06,2020-06-01,A
ENSG00000163599,1.0,1.0,0.32580389898037676,20.06,2020-06-01,A
ENSG00000111424,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000126351,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000198947,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000092054,1.0,1.0,0.32180830557370227,20.06,2020-06-01,A
ENSG00000100030,1.0,0.7328247353434563,0.2529122222222222,20.06,2020-06-01,A
ENSG00000114480,1.0,1.0,0.32500996844364943,20.06,2020-06-01,A
ENSG00000180210,1.0,1.0,0.3268269559092945,20.06,2020-06-01,A
ENSG00000159267,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000169836,1.0,1.0,0.31104927508705166,20.06,2020-06-01,A
ENSG00000151067,1.0,1.0,0.3228275615897096,20.06,2020-06-01,A
ENSG00000142319,1.0,1.0,0.32691912193402706,20.06,2020-06-01,A
ENSG00000188906,1.0,1.0,0.32614036889225656,20.06,2020-06-01,A
ENSG00000110799,1.0,1.0,0.32697589041401837,20.06,2020-06-01,A
ENSG00000126895,1.0,1.0,0.3264815232168446,20.06,2020-06-01,A
ENSG00000169432,1.0,1.0,0.32539334378672213,20.06,2020-06-01,A
ENSG00000109320,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000130826,1.0,1.0,0.3268241290440559,20.06,2020-06-01,A
ENSG00000113580,1.0,1.0,0.3269329113104638,20.06,2020-06-01,A
ENSG00000068024,1.0,1.0,0.32620535609903134,20.06,2020-06-01,A
ENSG00000136928,1.0,1.0,0.3260466702748547,20.06,2020-06-01,A
ENSG00000149131,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000166206,1.0,1.0,0.3263252102129101,20.06,2020-06-01,A
ENSG00000122971,1.0,1.0,0.3239230810622016,20.06,2020-06-01,A
ENSG00000116678,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000152822,1.0,1.0,0.32699069342796017,20.06,2020-06-01,A
ENSG00000109163,1.0,1.0,0.32686066164577265,20.06,2020-06-01,A
ENSG00000145888,1.0,1.0,0.3269928464103977,20.06,2020-06-01,A
ENSG00000167941,1.0,1.0,0.3264062714056466,20.06,2020-06-01,A
ENSG00000151090,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000221829,1.0,1.0,0.32356474389942286,20.06,2020-06-01,A
ENSG00000148795,1.0,1.0,0.3244790129135776,20.06,2020-06-01,A
ENSG00000003400,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000107796,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000184009,1.0,1.0,0.31542432769953316,20.06,2020-06-01,A
ENSG00000104044,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000148672,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000178209,1.0,1.0,0.3269920822512523,20.06,2020-06-01,A
ENSG00000186868,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000122194,1.0,1.0,0.32695977207546,20.06,2020-06-01,A
ENSG00000106799,1.0,1.0,0.3261519816436208,20.06,2020-06-01,A
ENSG00000117595,1.0,1.0,0.32604711969706723,20.06,2020-06-01,A
ENSG00000151623,1.0,1.0,0.32619251511275776,20.06,2020-06-01,A
ENSG00000117601,1.0,1.0,0.32608499099656496,20.06,2020-06-01,A
ENSG00000166311,1.0,1.0,0.326981168405088,20.06,2020-06-01,A
ENSG00000259207,1.0,1.0,0.3269933894647643,20.06,2020-06-01,A
ENSG00000114062,1.0,1.0,0.32699655459091387,20.06,2020-06-01,A
ENSG00000125124,1.0,1.0,0.3267661444594125,20.06,2020-06-01,A
ENSG00000145623,1.0,1.0,0.32632714600833124,20.06,2020-06-01,A
ENSG00000113302,1.0,1.0,0.3251580880352983,20.06,2020-06-01,A
ENSG00000174483,1.0,1.0,0.32697469158738035,20.06,2020-06-01,A
ENSG00000198001,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000072778,1.0,1.0,0.3268285217919799,20.06,2020-06-01,A
ENSG00000070915,1.0,1.0,0.3234499177350994,20.06,2020-06-01,A
ENSG00000197594,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000105329,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000204264,1.0,1.0,0.228225,20.06,2020-06-01,A
ENSG00000105664,1.0,1.0,0.32694388273101593,20.06,2020-06-01,A
ENSG00000109929,1.0,1.0,0.32695127430830273,20.06,2020-06-01,A
ENSG00000196549,1.0,1.0,0.3189830782971126,20.06,2020-06-01,A
ENSG00000258947,1.0,1.0,0.3255803787391247,20.06,2020-06-01,A
ENSG00000176884,1.0,1.0,0.3269799215070048,20.06,2020-06-01,A
ENSG00000102312,1.0,1.0,0.3269936350343923,20.06,2020-06-01,A
ENSG00000164116,1.0,1.0,0.3082768703688116,20.06,2020-06-01,A
ENSG00000248098,1.0,1.0,0.3155379093318036,20.06,2020-06-01,A
ENSG00000171766,1.0,1.0,0.32685620654093084,20.06,2020-06-01,A
ENSG00000172062,1.0,1.0,0.3253983154287291,20.06,2020-06-01,A
