program_id,target_id,symbol,ensembl_id,first_trial_date,pinned_date,approved,rt_ot_overall_max,pd_ot_overall_max,rt_ot_genetic_max,pd_ot_genetic_max,rt_ot_animal_model_max,pd_ot_animal_model_max,source,rt_impc_n_phenotypes,pd_impc_n_phenotypes,rt_depmap_pan_essential,pd_depmap_pan_essential
87894,1040,NR3C1,ENSG00000113580,2022-12-30,2022-06-01,False,0.8768152883752014,0.8806897161130463,0.9125414187528218,0.8998962222070886,0.7163723530530297,0.7185176171445338,OpenTargets,,,,
129620,2285,C5AR1,ENSG00000197405,2022-10-21,2022-06-01,False,0.550804151399954,0.5746153426082655,0.1253768180993598,0.4751891948963289,0.7105009862990708,0.6956217216914147,OpenTargets,,,,
197010,5161,PTGIR,ENSG00000160013,2021-06-01,2021-06-01,False,0.617422806212411,0.6186676638120735,0.138137685852544,0.647590309289139,0.3520696118634901,0.4162321142964814,OpenTargets,,,,
105295,7213,TOP2A,ENSG00000131747,2022-11-28,2022-06-01,False,0.720467564371493,0.7207279998104469,0.4259446957038419,0.420441718165146,0.8985300898280116,0.6166780467814678,OpenTargets,,,,
136923,1255,TNFSF4,ENSG00000117586,2023-06-21,2023-06-01,False,0.6111726597067221,0.7154904296180287,0.7740174274762566,0.9256560927354504,0.7976952681439388,0.8730283243168154,OpenTargets,,,,
94520,19453,IL11RA,ENSG00000137070,2024-03-05,2023-06-01,False,0.7879214154254744,0.8078669907972607,0.8784996336930266,0.8750909393065295,0.9538325738868438,0.9650813470463308,OpenTargets,,,,
94521,19453,IL11RA,ENSG00000137070,2024-03-05,2023-06-01,False,0.7879214154254744,0.8078669907972607,0.8784996336930266,0.8750909393065295,0.9538325738868438,0.9650813470463308,OpenTargets,,,,
94519,19453,IL11RA,ENSG00000137070,2024-03-05,2023-06-01,False,0.7879214154254744,0.8078669907972607,0.8784996336930266,0.8750909393065295,0.9538325738868438,0.9650813470463308,OpenTargets,,,,
94518,19453,IL11RA,ENSG00000137070,2024-03-05,2023-06-01,False,0.7879214154254744,0.8078669907972607,0.8784996336930266,0.8750909393065295,0.9538325738868438,0.9650813470463308,OpenTargets,,,,
94517,19453,IL11RA,ENSG00000137070,2024-03-05,2023-06-01,False,0.7879214154254744,0.8078669907972607,0.8784996336930266,0.8750909393065295,0.9538325738868438,0.9650813470463308,OpenTargets,,,,
94516,19453,IL11RA,ENSG00000137070,2024-03-05,2023-06-01,False,0.7879214154254744,0.8078669907972607,0.8784996336930266,0.8750909393065295,0.9538325738868438,0.9650813470463308,OpenTargets,,,,
94515,19453,IL11RA,ENSG00000137070,2024-03-05,2023-06-01,False,0.7879214154254744,0.8078669907972607,0.8784996336930266,0.8750909393065295,0.9538325738868438,0.9650813470463308,OpenTargets,,,,
94514,19453,IL11RA,ENSG00000137070,2024-03-05,2023-06-01,False,0.7879214154254744,0.8078669907972607,0.8784996336930266,0.8750909393065295,0.9538325738868438,0.9650813470463308,OpenTargets,,,,
98107,6086,SCN9A,ENSG00000169432,2022-06-13,2022-06-01,False,0.9061306323994588,0.8985332452007359,0.9766821637887422,0.9492203569138978,0.8738519891538689,0.5992103680592143,OpenTargets,,,,
141060,6086,SCN9A,ENSG00000169432,2024-08-20,2024-06-01,False,0.8926023959115246,0.8985332452007359,0.9502027569212118,0.9492203569138978,0.8387862470421993,0.5992103680592143,OpenTargets,,,,
136761,7213,TOP2A,ENSG00000131747,2022-01-10,2021-06-01,False,0.7163543602284482,0.7207279998104469,0.3349605905227141,0.420441718165146,0.924343022879093,0.6166780467814678,OpenTargets,,,,
136759,7213,TOP2A,ENSG00000131747,2022-01-10,2021-06-01,False,0.7163543602284482,0.7207279998104469,0.3349605905227141,0.420441718165146,0.924343022879093,0.6166780467814678,OpenTargets,,,,
107395,7213,TOP2A,ENSG00000131747,2023-02-01,2022-06-01,False,0.720467564371493,0.7207279998104469,0.4259446957038419,0.420441718165146,0.8985300898280116,0.6166780467814678,OpenTargets,,,,
136760,7213,TOP2A,ENSG00000131747,2022-01-10,2021-06-01,False,0.7163543602284482,0.7207279998104469,0.3349605905227141,0.420441718165146,0.924343022879093,0.6166780467814678,OpenTargets,,,,
116973,727,INSR,ENSG00000171105,2022-08-11,2022-06-01,False,0.9177843403454912,0.9147837053381724,0.970554549868358,0.9651696173810844,0.9588064179672086,0.9558985973592498,OpenTargets,,,,
105427,727,INSR,ENSG00000171105,2022-03-08,2021-06-01,False,0.9129056892045674,0.9147837053381724,0.9586482540564376,0.9651696173810844,0.9380412192914854,0.9558985973592498,OpenTargets,,,,
105428,727,INSR,ENSG00000171105,2023-01-14,2022-06-01,False,0.9177843403454912,0.9147837053381724,0.970554549868358,0.9651696173810844,0.9588064179672086,0.9558985973592498,OpenTargets,,,,
118943,727,INSR,ENSG00000171105,2022-06-03,2022-06-01,False,0.9177843403454912,0.9147837053381724,0.970554549868358,0.9651696173810844,0.9588064179672086,0.9558985973592498,OpenTargets,,,,
136721,1420,CFD,ENSG00000197766,2022-02-18,2021-06-01,False,0.700876338822632,0.7646245773242832,0.7882934859566882,0.9454955510479032,0.7334397610615159,0.7293907704377017,OpenTargets,,,,
136720,1420,CFD,ENSG00000197766,2022-02-18,2021-06-01,False,0.700876338822632,0.7646245773242832,0.7882934859566882,0.9454955510479032,0.7334397610615159,0.7293907704377017,OpenTargets,,,,
136722,1420,CFD,ENSG00000197766,2022-02-18,2021-06-01,False,0.700876338822632,0.7646245773242832,0.7882934859566882,0.9454955510479032,0.7334397610615159,0.7293907704377017,OpenTargets,,,,
138696,1420,CFD,ENSG00000197766,2021-12-06,2021-06-01,False,0.700876338822632,0.7646245773242832,0.7882934859566882,0.9454955510479032,0.7334397610615159,0.7293907704377017,OpenTargets,,,,
114706,261,OPRM1,ENSG00000112038,2023-12-26,2023-06-01,False,0.7445092845982552,0.758237247281118,0.8812380956896789,0.9687034009063226,0.8620506586406257,0.6990416375695365,OpenTargets,,,,
77325,213,VWF,ENSG00000110799,2021-09-22,2021-06-01,False,0.9087193274446056,0.9211260548223464,0.962854015898427,0.975975134253904,0.8286892964731843,0.9820891183585472,OpenTargets,,,,
129810,137,PPARA,ENSG00000186951,2021-08-18,2021-06-01,False,0.6405936668798521,0.6835610196826982,0.7266336225870943,0.8880995779613514,0.780122109835786,0.7626571204442231,OpenTargets,,,,
140568,3581,MYH7,ENSG00000092054,2023-01-18,2022-06-01,False,0.9190247366807656,0.9282300241404996,0.9813067645022172,0.9804418827425656,0.660225868775055,0.6615410903770508,OpenTargets,,,,
116976,727,INSR,ENSG00000171105,2022-08-11,2022-06-01,False,0.9177843403454912,0.9147837053381724,0.970554549868358,0.9651696173810844,0.9588064179672086,0.9558985973592498,OpenTargets,,,,
116975,727,INSR,ENSG00000171105,2022-08-11,2022-06-01,False,0.9177843403454912,0.9147837053381724,0.970554549868358,0.9651696173810844,0.9588064179672086,0.9558985973592498,OpenTargets,,,,
146822,3532,MAPKAPK2,ENSG00000162889,2022-07-12,2022-06-01,False,0.3800975914997012,0.6656896330888428,0.6221920220398572,0.8536350328128414,0.6986260090612273,0.6792355079481047,OpenTargets,,,,
92438,5203,CDK4,ENSG00000135446,2024-07-11,2024-06-01,False,0.9054340979733404,0.8983858781748305,0.870818273234733,0.8669622694838875,0.8261222346812318,0.8220277992452887,OpenTargets,,,,
148087,18805,FCGRT,ENSG00000104870,2023-02-20,2022-06-01,False,0.6977561166707019,0.7360452135350355,0.9171509165938164,0.9669457276233446,0.6273705251312562,0.6193644803933406,OpenTargets,,,,
136438,3634,PROC,ENSG00000115718,2023-07-28,2023-06-01,False,0.8580272485136119,0.881730229596551,0.9746646238030688,0.9567581614505156,0.4806489163433265,0.4716418342093491,OpenTargets,,,,
88755,3789,SLC6A2,ENSG00000103546,2021-07-31,2021-06-01,False,0.7622077611824366,0.7964501944782989,0.6965585992638361,0.8534160942616578,0.7736883770526404,0.7445986844201898,OpenTargets,,,,
119055,3384,P2RX7,ENSG00000089041,2022-11-22,2022-06-01,False,0.3922878072213575,0.6176415056441605,0.5385620470464546,0.8645712800893289,0.9885544586011592,0.9520904875027416,OpenTargets,,,,
148076,6005,MEN1,ENSG00000133895,2023-12-28,2023-06-01,False,0.9229310511874732,0.9220235836545794,0.964103706715147,0.9622229539536344,0.8739521594731611,0.8698357518890156,OpenTargets,,,,
86697,1300,KDR,ENSG00000128052,2024-01-15,2023-06-01,False,0.8901668765960303,0.8945934026289059,0.8711665601972968,0.952044224485773,,,OpenTargets,,,,
122649,211,GLP1R,ENSG00000112164,2021-08-02,2021-06-01,False,0.7454351656249673,0.766293002024608,0.7926007542169512,0.9621805353741036,0.8587245860471112,0.9226156270360436,OpenTargets,,,,
