sponsor,n_originated,n_approved,success_pct
Orphalan,5,0,0.0
Immunovant Sciences,5,0,0.0
Armata Pharmaceuticals,5,0,0.0
Otonomy,5,0,0.0
Argenx,5,1,20.0
Fujian Shengdi Pharmaceutical Co,5,0,0.0
Allergy Therapeutics,5,0,0.0
Yooyoung Pharmaceutical Co,5,0,0.0
Vir Biotechnology,5,0,0.0
United BioPharma,5,0,0.0
Palatin Technologies,5,0,0.0
Cloudbreak Therapeutics,5,0,0.0
Alvogen Korea,5,0,0.0
Akcea Therapeutics,5,1,20.0
Qurient Co,5,0,0.0
George Medicines PTY,5,0,0.0
Antios Therapeutics,5,0,0.0
Corxel Pharmaceuticals,5,0,0.0
Intra-Cellular Therapies,5,0,0.0
Entero Therapeutics,5,0,0.0
Lexicon,5,2,40.0
Kala Pharmaceuticals,5,0,0.0
Nanogen Pharmaceutical Biotechnology Joint Stock Company,5,0,0.0
CinDome Pharma,5,0,0.0
Samjin Pharmaceutical Co,5,0,0.0
Sanwa Kagaku Kenkyusho Co,5,0,0.0
IVIEW Therapeutics Inc.,5,0,0.0
AMAG Pharmaceuticals,5,0,0.0
Durect,5,0,0.0
Neopharma Japan Co,5,0,0.0
Noven Pharmaceuticals,5,0,0.0
Vifor (International) Inc.,5,0,0.0
Mineralys Therapeutics Inc.,5,0,0.0
OPKO Health,5,0,0.0
Beijing InnoCare Pharma Tech Co,4,0,0.0
Croma-Pharma,4,0,0.0
Oxular,4,0,0.0
Merck,4,4,100.0
Yungjin Pharm. Co,4,0,0.0
Pharmazz,4,0,0.0
Frequency Therapeutics,4,0,0.0
Strategic Science & Technologies,4,0,0.0
Mesoblast,4,1,25.0
ZetrOZ,4,0,0.0
vTv Therapeutics,4,0,0.0
Mirror Biologics,4,0,0.0
Bracco Diagnostics,4,1,25.0
Chengdu Kanghong Biotech Co,4,0,0.0
Pharma Two B Ltd.,4,0,0.0
WinSanTor,4,0,0.0
Ophirex,4,0,0.0
InventisBio Co,4,0,0.0
"Jiaxing AnDiCon Biotech Co.,Ltd",4,0,0.0
Biocon Biologics UK Ltd,4,0,0.0
AJU Pharm Co,4,0,0.0
Shaperon,4,0,0.0
Replimune,4,0,0.0
Guangdong Raynovent Biotech Co,4,0,0.0
Meiji Seika Pharma Co,4,0,0.0
Tianjin Hemay Pharmaceutical Co,4,0,0.0
Dr. August Wolff GmbH & Co. KG Arzneimittel,4,0,0.0
Kyungdong Pharmaceutical Co,4,0,0.0
